compactness,circularity,distance_circularity,radius_ratio,pr_axis,max_length_aspect_ratio,scatter_ratio,elongatedness,pr_axis_rectangularity,max_length_rect,scaled_var_major_axis,scaled_var_minor_axis,scaled_radius_of_gyration,skewness_major_axis,skewness_minor_axis,kurtosis_minor_axis,kurtosis_major_axis,hollows_ratio,vehicle_name
90,47,85.0,161,64,10,163,42,20,160,177,389,185.0,73,9,0,185.0,195,van
102,52,101.0,213,64,10,203,33,23,157,214,616,186.0,65,0,19,193.0,203,opel
105,53,108.0,206,63,12,222,31,25,168,226,712,201.0,71,15,35,189.0,203,saab
115,52,100.0,203,62,10,217,31,24,165,229,697,214.0,72,14,4,188.0,197,saab
109,55,96.0,191,57,6,241,28,26,170,267,857,242.0,85,8,9,184.0,184,bus
91,35,66.0,159,59,7,147,45,19,131,169,322,123.0,64,1,1,197.0,203,opel
98,58,101.0,208,65,12,226,30,25,182,225,748,216.0,71,6,1,185.0,196,opel
96,37,74.0,187,68,8,159,42,20,134,183,378,134.0,69,3,16,190.0,197,saab
88,35,60.0,143,59,7,128,52,18,129,147,246,109.0,62,1,6,202.0,209,van
86,38,76.0,143,59,8,142,47,18,131,167,301,138.0,71,5,10,189.0,196,van
84,43,70.0,123,54,8,151,45,19,146,173,332,176.0,81,1,12,181.0,184,bus
89,44,68.0,113,50,7,150,45,19,147,171,328,189.0,88,6,5,179.0,182,bus
90,43,72.0,172,59,8,154,42,19,144,174,360,158.0,61,15,9,203.0,209,saab
80,39,60.0,122,56,6,139,49,18,131,151,281,142.0,80,0,5,179.0,186,opel
94,39,75.0,184,72,8,155,42,19,133,175,365,145.0,70,4,5,,200,bus
91,42,66.0,142,58,9,134,50,18,142,163,268,164.0,69,6,5,191.0,197,van
100,43,92.0,197,62,10,180,36,21,143,200,489,153.0,64,6,9,195.0,205,saab
86,37,69.0,150,63,8,138,48,18,134,163,284,124.0,71,1,6,189.0,195,van
107,57,102.0,184,55,7,234,28,26,171,243,822,229.0,77,7,11,187.0,187,bus
86,46,70.0,149,65,8,149,45,19,146,170,331,185.0,77,6,6,183.0,188,bus
98,39,68.0,121,49,7,134,51,18,142,164,261,134.0,75,4,1,186.0,186,van
98,51,84.0,207,72,7,184,35,21,161,199,520,198.0,72,9,11,196.0,199,bus
95,53,95.0,202,65,10,193,34,22,160,220,559,237.0,71,3,2,188.0,196,saab
85,40,75.0,137,56,7,152,44,19,134,173,339,160.0,76,7,16,182.0,187,saab
94,36,66.0,151,61,8,133,50,18,135,154,265,119.0,62,9,3,201.0,208,van
103,56,105.0,183,59,10,210,32,24,173,217,648,218.0,72,13,22,188.0,196,opel
86,44,65.0,129,56,6,152,45,19,150,168,331,177.0,83,4,13,178.0,183,bus
96,44,85.0,166,66,10,155,43,19,150,167,355,159.0,67,3,10,192.0,202,van
80,36,69.0,127,56,7,128,53,18,124,147,240,133.0,70,2,21,183.0,191,opel
107,53,108.0,211,63,11,219,31,25,168,228,704,198.0,69,10,21,190.0,203,saab
108,53,104.0,181,56,11,220,31,25,167,226,712,214.0,72,15,18,189.0,199,saab
90,46,75.0,133,55,11,160,43,20,161,173,369,171.0,77,0,16,,192,van
81,46,71.0,141,61,7,153,44,19,148,177,347,190.0,80,1,14,182.0,187,bus
86,42,,122,54,6,148,46,19,143,170,319,171.0,87,1,3,179.0,182,bus
80,43,71.0,133,60,7,150,45,19,146,170,330,176.0,81,6,15,180.0,184,bus
103,50,98.0,212,63,9,193,34,22,161,214,567,185.0,64,5,5,198.0,204,opel
82,44,72.0,136,61,7,147,46,19,143,173,317,183.0,81,6,17,181.0,185,bus
88,40,79.0,183,62,7,176,38,21,138,200,462,150.0,66,0,29,189.0,199,opel
90,36,85.0,184,64,6,160,41,20,125,187,385,139.0,66,9,31,195.0,203,saab
104,49,89.0,168,54,4,212,31,24,153,238,682,198.0,78,1,23,190.0,189,bus
109,53,103.0,210,63,11,219,30,25,172,229,707,212.0,71,6,3,188.0,199,saab
104,54,91.0,209,67,11,218,31,24,170,223,697,196.0,74,4,21,187.0,196,opel
101,56,101.0,231,72,10,217,31,24,171,232,698,216.0,72,2,6,187.0,197,saab
88,34,69.0,152,57,5,138,48,18,122,158,284,120.0,62,9,29,204.0,210,opel
91,39,77.0,153,59,8,139,48,18,139,159,289,123.0,62,8,17,201.0,209,van
94,37,72.0,193,72,6,158,41,19,133,184,385,127.0,70,0,14,200.0,204,bus
103,41,83.0,194,63,9,175,38,21,142,199,455,138.0,65,7,30,197.0,206,opel
115,51,100.0,201,60,12,196,34,23,162,207,573,184.0,62,22,1,198.0,208,saab
104,55,107.0,222,68,11,218,31,24,173,232,703,229.0,71,3,10,188.0,199,saab
98,46,88.0,191,63,6,192,34,22,147,215,563,174.0,73,2,26,194.0,197,bus
78,36,60.0,116,56,6,123,55,17,124,141,221,121.0,78,3,16,178.0,185,opel
101,53,91.0,194,65,6,204,32,23,161,231,636,214.0,78,5,14,192.0,192,bus
90,49,83.0,187,63,7,176,37,21,154,205,467,222.0,70,1,2,189.0,195,saab
95,47,81.0,176,59,7,168,39,20,152,196,425,185.0,67,4,4,191.0,198,saab
87,39,74.0,152,58,6,151,44,19,136,174,337,140.0,70,1,33,187.0,196,saab
98,49,84.0,219,74,7,190,34,22,154,208,558,209.0,74,4,7,195.0,195,bus
99,47,91.0,226,74,5,202,32,23,148,234,629,186.0,79,4,11,192.0,191,bus
86,36,77.0,165,60,7,150,45,19,128,174,331,131.0,66,0,32,196.0,203,saab
119,54,106.0,220,65,12,213,31,24,167,223,675,232.0,66,20,1,192.0,202,saab
89,45,81.0,246,102,43,155,44,20,160,200,347,177.0,90,9,17,183.0,192,van
96,55,98.0,161,54,10,215,31,24,175,226,683,221.0,76,3,6,185.0,193,opel
89,44,76.0,125,54,10,156,44,20,151,163,352,176.0,76,12,12,184.0,193,van
103,56,100.0,185,59,11,216,31,24,173,219,684,219.0,75,15,11,186.0,194,opel
97,45,91.0,161,63,10,151,45,19,148,166,334,171.0,65,18,20,197.0,205,van
